melodieid,count,decade
2048,25,1600
2815,19,1600
1856,16,1600
3654,15,1600
2663,14,1600
341,13,1600
359,13,1600
5781,12,1600
7206,12,1600
773,12,1600
3603,11,1600
4760,11,1600
8256,11,1600
2983,11,1600
2486,10,1600
4215,9,1600
9163,9,1600
7169,9,1600
5273,8,1600
7934,8,1600
6549,8,1600
4116,8,1600
56,7,1600
7925,7,1600
1916,7,1600
8770,7,1600
7932,7,1600
9363,7,1600
7413,7,1600
9353,7,1600
4630,6,1600
5335,6,1600
4118,6,1600
5919,6,1600
4128,6,1600
2697,6,1600
5173,6,1600
6543,6,1600
5068,6,1600
7393,6,1600
9490,6,1600
7921,6,1600
6257,6,1600
4459,6,1600
7266,6,1600
6851,5,1600
8277,5,1600
7299,5,1600
7355,5,1600
6537,5,1600
8003,5,1600
6740,5,1600
1438,5,1600
1231,5,1600
1014,5,1600
7417,5,1600
3071,5,1600
3842,4,1600
8586,4,1600
7176,4,1600
3016,4,1600
3664,4,1600
7388,4,1600
2130,4,1600
357,4,1600
3652,4,1600
2441,4,1600
7928,4,1600
2434,4,1600
6056,4,1600
7173,4,1600
4017,4,1600
3814,4,1600
10623,4,1600
4184,4,1600
4167,4,1600
387,4,1600
5924,4,1600
7987,4,1600
2224,4,1600
9340,4,1600
3696,4,1600
298,3,1600
5114,3,1600
9861,3,1600
3847,3,1600
3502,3,1600
8763,3,1600
7208,3,1600
64,3,1600
7228,3,1600
4031,3,1600
8765,3,1600
5060,3,1600
7698,3,1600
2457,3,1600
3271,3,1600
5945,3,1600
3920,3,1600
4304,3,1600
7238,3,1600
7160,3,1600
3979,3,1600
9168,3,1600
4053,3,1600
2260,3,1600
692,3,1600
9073,3,1600
6488,2,1600
383,2,1600
2214,2,1600
1242,2,1600
380,2,1600
7321,2,1600
2715,2,1600
992,2,1600
2439,2,1600
7900,2,1600
7314,2,1600
4442,2,1600
8945,2,1600
7247,2,1600
4332,2,1600
5963,2,1600
5832,2,1600
8264,2,1600
7537,2,1600
3110,2,1600
3135,2,1600
2438,2,1600
441,2,1600
7288,2,1600
5432,2,1600
4240,2,1600
4990,2,1600
7197,2,1600
3169,2,1600
2499,2,1600
5948,2,1600
7268,2,1600
7430,2,1600
7350,2,1600
3784,2,1600
7193,2,1600
6775,2,1600
9491,2,1600
2529,2,1600
2516,2,1600
2465,2,1600
1946,2,1600
1904,2,1600
3456,2,1600
2095,2,1600
7339,2,1600
4088,2,1600
2473,2,1600
5366,2,1600
7754,2,1600
9518,2,1600
771,2,1600
4276,2,1600
3622,2,1600
2479,2,1600
8357,2,1600
1511,2,1600
5920,2,1600
7362,1,1600
9001,1,1600
6268,1,1600
3774,1,1600
5044,1,1600
679,1,1600
2472,1,1600
3540,1,1600
7167,1,1600
9098,1,1600
2437,1,1600
6472,1,1600
1244,1,1600
780,1,1600
5823,1,1600
7326,1,1600
5910,1,1600
7257,1,1600
1240,1,1600
7243,1,1600
7215,1,1600
1649,1,1600
3568,1,1600
5785,1,1600
3684,1,1600
4062,1,1600
7210,1,1600
7213,1,1600
6180,1,1600
9415,1,1600
93,1,1600
660,1,1600
