melodieid,count,place
6451,44,Alkmaar
6124,40,Alkmaar
8349,29,Alkmaar
9073,24,Alkmaar
7393,18,Alkmaar
7312,16,Alkmaar
5335,16,Alkmaar
3043,16,Alkmaar
9353,15,Alkmaar
3126,14,Alkmaar
7942,14,Alkmaar
1886,14,Alkmaar
8277,14,Alkmaar
8003,14,Alkmaar
3456,13,Alkmaar
8665,12,Alkmaar
6515,11,Alkmaar
3540,11,Alkmaar
2431,11,Alkmaar
6964,11,Alkmaar
6619,11,Alkmaar
7648,10,Alkmaar
7417,9,Alkmaar
7977,9,Alkmaar
4726,9,Alkmaar
2815,9,Alkmaar
7314,9,Alkmaar
7866,8,Alkmaar
450,8,Alkmaar
8150,8,Alkmaar
828,8,Alkmaar
3957,8,Alkmaar
2712,8,Alkmaar
3116,8,Alkmaar
2849,8,Alkmaar
2083,8,Alkmaar
5087,8,Alkmaar
7206,7,Alkmaar
6257,6,Alkmaar
7355,6,Alkmaar
4229,6,Alkmaar
4240,6,Alkmaar
773,6,Alkmaar
7339,6,Alkmaar
7191,6,Alkmaar
4057,6,Alkmaar
7268,6,Alkmaar
3810,6,Alkmaar
9280,6,Alkmaar
3072,6,Alkmaar
5781,6,Alkmaar
8389,6,Alkmaar
12712,6,Alkmaar
7299,6,Alkmaar
9363,6,Alkmaar
7362,6,Alkmaar
2706,6,Alkmaar
7173,6,Alkmaar
8770,6,Alkmaar
7803,6,Alkmaar
2214,5,Alkmaar
2434,5,Alkmaar
4116,5,Alkmaar
6549,5,Alkmaar
3654,5,Alkmaar
926,5,Alkmaar
7208,5,Alkmaar
714,5,Alkmaar
3622,5,Alkmaar
7011,5,Alkmaar
7721,5,Alkmaar
7147,5,Alkmaar
9616,5,Alkmaar
8757,5,Alkmaar
9116,4,Alkmaar
6968,4,Alkmaar
6374,4,Alkmaar
4019,4,Alkmaar
3490,4,Alkmaar
487,4,Alkmaar
7230,4,Alkmaar
906,4,Alkmaar
7934,4,Alkmaar
9348,4,Alkmaar
10623,4,Alkmaar
7494,4,Alkmaar
2663,4,Alkmaar
7223,4,Alkmaar
5112,4,Alkmaar
6068,4,Alkmaar
